State,month,0
Andaman and Nicobar Islands,01,16
Andaman and Nicobar Islands,02,28
Andaman and Nicobar Islands,03,31
Andaman and Nicobar Islands,04,30
Andaman and Nicobar Islands,05,15
Andhra Pradesh,01,16
Andhra Pradesh,02,28
Andhra Pradesh,03,31
Andhra Pradesh,04,30
Andhra Pradesh,05,15
Arunachal Pradesh,01,16
Arunachal Pradesh,02,28
Arunachal Pradesh,03,31
Arunachal Pradesh,04,30
Arunachal Pradesh,05,15
Assam,01,16
Assam,02,28
Assam,03,31
Assam,04,30
Assam,05,15
Bihar,01,16
Bihar,02,28
Bihar,03,31
Bihar,04,30
Bihar,05,15
Chandigarh,01,16
Chandigarh,02,28
Chandigarh,03,31
Chandigarh,04,30
Chandigarh,05,15
Chhattisgarh,01,16
Chhattisgarh,02,28
Chhattisgarh,03,31
Chhattisgarh,04,30
Chhattisgarh,05,15
Dadra and Nagar Haveli and Daman and Diu,01,16
Dadra and Nagar Haveli and Daman and Diu,02,28
Dadra and Nagar Haveli and Daman and Diu,03,31
Dadra and Nagar Haveli and Daman and Diu,04,30
Dadra and Nagar Haveli and Daman and Diu,05,15
Delhi,01,16
Delhi,02,28
Delhi,03,31
Delhi,04,30
Delhi,05,15
Goa,01,16
Goa,02,28
Goa,03,31
Goa,04,30
Goa,05,15
Gujarat,01,16
Gujarat,02,28
Gujarat,03,31
Gujarat,04,30
Gujarat,05,15
Haryana,01,16
Haryana,02,28
Haryana,03,31
Haryana,04,30
Haryana,05,15
Himachal Pradesh,01,16
Himachal Pradesh,02,28
Himachal Pradesh,03,31
Himachal Pradesh,04,30
Himachal Pradesh,05,15
India,01,16
India,02,28
India,03,31
India,04,30
India,05,15
Jammu and Kashmir,01,16
Jammu and Kashmir,02,28
Jammu and Kashmir,03,31
Jammu and Kashmir,04,30
Jammu and Kashmir,05,15
Jharkhand,01,16
Jharkhand,02,28
Jharkhand,03,31
Jharkhand,04,30
Jharkhand,05,15
Karnataka,01,16
Karnataka,02,28
Karnataka,03,31
Karnataka,04,30
Karnataka,05,15
Kerala,01,16
Kerala,02,28
Kerala,03,31
Kerala,04,30
Kerala,05,15
Ladakh,01,16
Ladakh,02,28
Ladakh,03,31
Ladakh,04,30
Ladakh,05,15
Lakshadweep,01,16
Lakshadweep,02,28
Lakshadweep,03,31
Lakshadweep,04,30
Lakshadweep,05,15
Madhya Pradesh,01,16
Madhya Pradesh,02,28
Madhya Pradesh,03,31
Madhya Pradesh,04,30
Madhya Pradesh,05,15
Maharashtra,01,16
Maharashtra,02,28
Maharashtra,03,31
Maharashtra,04,30
Maharashtra,05,15
Manipur,01,16
Manipur,02,28
Manipur,03,31
Manipur,04,30
Manipur,05,15
Meghalaya,01,16
Meghalaya,02,28
Meghalaya,03,31
Meghalaya,04,30
Meghalaya,05,15
Mizoram,01,16
Mizoram,02,28
Mizoram,03,31
Mizoram,04,30
Mizoram,05,15
Nagaland,01,16
Nagaland,02,28
Nagaland,03,31
Nagaland,04,30
Nagaland,05,15
Odisha,01,16
Odisha,02,28
Odisha,03,31
Odisha,04,30
Odisha,05,15
Puducherry,01,16
Puducherry,02,28
Puducherry,03,31
Puducherry,04,30
Puducherry,05,15
Punjab,01,16
Punjab,02,28
Punjab,03,31
Punjab,04,30
Punjab,05,15
Rajasthan,01,16
Rajasthan,02,28
Rajasthan,03,31
Rajasthan,04,30
Rajasthan,05,15
Sikkim,01,16
Sikkim,02,28
Sikkim,03,31
Sikkim,04,30
Sikkim,05,15
Tamil Nadu,01,16
Tamil Nadu,02,28
Tamil Nadu,03,31
Tamil Nadu,04,30
Tamil Nadu,05,15
Telangana,01,16
Telangana,02,28
Telangana,03,31
Telangana,04,30
Telangana,05,15
Tripura,01,16
Tripura,02,28
Tripura,03,31
Tripura,04,30
Tripura,05,15
Uttar Pradesh,01,16
Uttar Pradesh,02,28
Uttar Pradesh,03,31
Uttar Pradesh,04,30
Uttar Pradesh,05,15
Uttarakhand,01,16
Uttarakhand,02,28
Uttarakhand,03,31
Uttarakhand,04,30
Uttarakhand,05,15
West Bengal,01,16
West Bengal,02,28
West Bengal,03,31
West Bengal,04,30
West Bengal,05,15
