State,Male(Individuals Vaccinated)
Andaman and Nicobar Islands,53903.0
Andhra Pradesh,2813644.0
Arunachal Pradesh,123119.0
Assam,1426380.0
Bihar,3829966.0
Chandigarh,118975.0
Chhattisgarh,2473087.0
Dadra and Nagar Haveli and Daman and Diu,49025.0
Delhi,2008240.0
Goa,173190.0
Gujarat,5982566.0
Haryana,2104603.0
Himachal Pradesh,866844.0
India,74324379.0
Jammu and Kashmir,1350850.0
Jharkhand,1501678.0
Karnataka,4321103.0
Kerala,2929192.0
Ladakh,47718.0
Lakshadweep,11997.0
Madhya Pradesh,4007674.0
Maharashtra,8463005.0
Manipur,174158.0
Meghalaya,168275.0
Mizoram,120413.0
Nagaland,107893.0
Odisha,2755958.0
Puducherry,92689.0
Punjab,1981795.0
Rajasthan,6254687.0
Sikkim,89534.0
Tamil Nadu,2698147.0
Telangana,2263127.0
Tripura,508554.0
Uttar Pradesh,6625417.0
Uttarakhand,1000126.0
West Bengal,4820673.0
